Title,"Image Link",Type,Seats,Speed,Range,"Price Per Hour"
"Hawker 4000",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Hawker-4000-PrivateFly-AA9760.jpg,LongRangeJets,9,"470 kts","3390 nm",4700
"Challenger 890",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Challenger-890-PrivateFly-AA9674.jpg,LongRangeJets,16,"471 kts","2028 nm",4350
"Embraer Lineage 1000",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Embraer-Lineage-1000-PrivateFly-AA9679.jpg,LongRangeJets,16,"472 kts","4600 nm",9000
"Cessna C750 Citation X",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Cessna-C750-Citation-X-PrivateFly-AA9630.jpg,LongRangeJets,8,"475 kts","3430 nm",4500
"Falcon 8X",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-8X-PrivateFly-AB8779.jpg,LongRangeJets,13,"475 kts","6450 nm",9271
"Falcon 7X",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Falcon-7X-PrivateFly-AA9723.jpg,LongRangeJets,13,"480 kts","5950 nm",5432
"Gulfstream G200",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G200-PrivateFly-AA9842.jpg,LongRangeJets,8,"482 kts","3400 nm",4486
"Gulfstream G280",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G280-PrivateFly-AA9837.jpg,LongRangeJets,8,"482 kts","3600 nm",5596
"Gulfstream G350",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G350-PrivateFly-AA9830.jpg,LongRangeJets,14,"488 kts","3800 nm",4250
"Gulfstream G400",//s3-eu-west-1.amazonaws.com/images.privatefly.com/images/aircraft/Gulfstream-G400-PrivateFly-AA9822.jpg,LongRangeJets,12,"488 kts","4350 nm",4800
